Sample,Run,Specimen,BarcodeFwd,BarcodeRev,Chain,Type
RM6561WK88H,191220_M05588_0264_000000000-CN8JR,RM6561WK88IGM,1,16,heavy,mu
RM6561WK88L,191220_M05588_0264_000000000-CN8JR,RM6561WK88IGM,4,15,light,lambda
RM6561WK104GH,200904_M05588_0331_000000000-J6442,RM6561WK104IGG,3,18,heavy,gamma
RM6561WK104GL,200904_M05588_0331_000000000-J6442,RM6561WK104IGG,8,13,light,lambda
RM6561WK104GH2,200911_M00281_0631_000000000-J6446,RM6561WK104IGG,3,18,heavy,gamma
RM6561WK104GL2,200911_M00281_0631_000000000-J6446,RM6561WK104IGG,8,13,light,lambda
RM40591WK96MH,200925_M00281_0636_000000000-J9NFC,RM40591WK96IGM,5,18,heavy,mu
RM40591WK96ML,200925_M05588_0337_000000000-J9FWN,RM40591WK96IGM,2,8,light,kappa
RM40591WK96MH2,201013_M05588_0340_000000000-J9M9L,RM40591WK96IGM,5,18,heavy,mu
RM6561WK104GH3,201207_M05588_0357_000000000-JF895,RM6561WK104IGG,1,17,heavy,gamma
RM6561WK104GL3,201207_M05588_0357_000000000-JF895,RM6561WK104IGG,2,11,light,lambda
RMV033WK04MH,201207_M05588_0357_000000000-JF895,RMV033WK04IGM,3,18,heavy,mu
RMV033WK04MK,201207_M05588_0357_000000000-JF895,RMV033WK04IGM,4,7,light,kappa
RMV033WK04MH2,201218_M00281_0663_000000000-JF87N,RMV033WK04IGM,3,18,heavy,mu
RMV033WK04MK2,201218_M00281_0663_000000000-JF87N,RMV033WK04IGM,4,7,light,kappa
RMV033WK04MH3,210107_M05588_0362_000000000-JF87R,RMV033WK04IGM,3,18,heavy,mu
RMV033WK04MK3,210107_M05588_0362_000000000-JF87R,RMV033WK04IGM,4,7,light,kappa
RMV033WK04MH4,210126_M05588_0367_000000000-JF8P7,RMV033WK04IGM,3,18,heavy,mu
RMV033WK04MK4,210126_M05588_0367_000000000-JF8P7,RMV033WK04IGM,4,7,light,kappa
RMV033WK04MH5,210203_M00281_0673_000000000-JGBDK,RMV033WK04IGM,3,18,heavy,mu
RMV033WK04MK5,210203_M00281_0673_000000000-JGBDK,RMV033WK04IGM,4,7,light,kappa
RM40591WK96MH3,210219_M00281_0678_000000000-JK5F8,RM40591WK96IGM,5,18,heavy,mu
RM40591WK96ML2,210305_M05588_0384_000000000-JGBFB,RM40591WK96IGM,2,8,light,kappa
RM41328WK72MH,210312_M00281_0001_000000000-JG46C,RM41328WK72IGM,3,17,heavy,mu
RM41328WK72ML,210507_M05588_0411_000000000-JMH2W,RM41328WK72IGM,4,12,light,lambda
RM6070WK12MH,210401_M05588_0397_000000000-JLRG6,RM6070WK12IGM,3,16,heavy,mu
RM6070WK12MK,210319_M00281_0004_000000000-JJ3LL,RM6070WK12IGM,4,7,light,kappa
RMV033WK04MH6,210324_M00281_0007_000000000-JLRFW,RMV033WK04IGM,3,18,heavy,mu
RM40591WK96MH4,210413_M05588_0400_000000000-JLT9F,RM40591WK96IGM,5,18,heavy,mu
RM40591WK96ML3,210416_M00281_0015_000000000-JLRPF,RM40591WK96IGM,2,8,light,kappa
RMT646WK16MH,210430_M00281_0021_000000000-JMJ8T,RMT646WK16IGM,7,18,heavy,mu
RMT646WK16ML,210423_M05588_0405_000000000-JLM2F,RMT646WK16IGM,8,14,light,lambda
RM41328WK72MH2,210514_M00281_0026_000000000-JL5N2,RM41328WK72IGM,3,17,heavy,mu
RM41328WK72ML2,210514_M05588_0413_000000000-JHYWC,RM41328WK72IGM,4,12,light,lambda
RMT646WK16MH2,210519_M05588_0415_000000000-JHYMH,RMT646WK16IGM,7,18,heavy,mu
RMT646WK16ML2,210521_M00281_0029_000000000-JMH9D,RMT646WK16IGM,8,14,light,lambda
RM42056WK72GH,210617_M05588_0426_000000000-JRJ2R,RM42056WK72IGG,2,19,heavy,gamma
RM42056WK72GK,210611_M05588_0423_000000000-JHYVH,RM42056WK72IGG,3,7,light,kappa
RM42056WK72GL,220211_M00281_0112_000000000-JVB77,RM42056WK72IGG,1,11,light,lambda
RM42056WK72MH,210617_M05588_0426_000000000-JRJ2R,RM42056WK72IGM,4,16,heavy,mu
RM42056WK72MK,210611_M05588_0423_000000000-JHYVH,RM42056WK72IGM,5,8,light,kappa
RM42056WK72ML,220211_M00281_0112_000000000-JVB77,RM42056WK72IGM,7,12,light,lambda
RM42056WK72MK2,210625_M05588_0429_000000000-JRJCG,RM42056WK72IGM,5,8,light,kappa
RM42056WK72MH2,210817_M05588_0446_000000000-JVCHG,RM42056WK72IGM,4,16,heavy,mu
RM41328WK72MH3,210817_M05588_0446_000000000-JVCHG,RM41328WK72IGM,3,17,heavy,mu
RM44715WK120MH,211210_M05588_0483_000000000-K44W8,RM44715WK120IGM,8,17,heavy,mu
RM44715WK120MH2,211217_M05588_0485_000000000-K457G,RM44715WK120IGM,8,17,heavy,mu
RM44715WK120MK,220621_M05588_0530_000000000-KG73G,RM44715WK120IGM,18,7,light,kappa
RMV031WK32MH,220701_M05588_0534_000000000-KG7DH,RMV031WK32IGM,1,16,heavy,mu
RMV031WK32MK,220627_M00281_0154_000000000-KG82H,RMV031WK32IGM,2,7,light,kappa
RMV031WK56GH,220701_M05588_0534_000000000-KG7DH,RMV031WK56IGG,17,20,heavy,gamma
RMV031WK56GK,220627_M00281_0154_000000000-KG82H,RMV031WK56IGG,18,7,light,kappa
